word3,value,channel,person
welcomes,2,cnnnews18,modi
celebrated,3,cnnnews18,modi
praises,3,cnnnews18,modi
reaches,1,cnnnews18,modi
warns,-2,cnnnews18,modi
haters,-3,cnnnews18,modi
praise,3,cnnnews18,modi
praised,3,cnnnews18,modi
greets,1,cnnnews18,modi
join,1,cnnnews18,modi
reached,1,cnnnews18,modi
accused,-2,cnnnews18,modi
applauds,2,cnnnews18,modi
appreciated,2,cnnnews18,modi
approves,2,cnnnews18,modi
banned,-2,cnnnews18,modi
condemns,-2,cnnnews18,modi
focused,2,cnnnews18,modi
hailed,2,cnnnews18,modi
improved,2,cnnnews18,modi
wins,4,ndtv,modi
welcomed,2,ndtv,modi
welcomes,2,ndtv,modi
arrested,-3,ndtv,modi
awarded,3,ndtv,modi
accuses,-2,ndtv,modi
approves,2,ndtv,modi
scared,-2,ndtv,modi
greets,1,ndtv,modi
reaches,1,ndtv,modi
betrayed,-3,ndtv,modi
celebrated,3,ndtv,modi
celebrates,3,ndtv,modi
desperate,-3,ndtv,modi
destroyed,-3,ndtv,modi
fan,3,ndtv,modi
happy,3,ndtv,modi
praises,3,ndtv,modi
praising,3,ndtv,modi
won,3,ndtv,modi
praise,3,republic,modi
celebrates,3,republic,modi
praises,3,republic,modi
won,3,republic,modi
thrilled,5,republic,modi
reaches,1,republic,modi
applauds,2,republic,modi
denied,-2,republic,modi
mocks,-2,republic,modi
mourns,-2,republic,modi
welcomes,2,republic,modi
euphoric,4,republic,modi
fun,4,republic,modi
overjoyed,4,republic,modi
rejoicing,4,republic,modi
win,4,republic,modi
wins,4,republic,modi
demands,-1,republic,modi
greets,1,republic,modi
shares,1,republic,modi
